Filename,DictionaryIPA,DictionaryTone,VowelLength,IPA,Coda,ReclassifiedTone,ReclassifiedVowelLength,VowelQuality,PhonemicIPA,ReclassifiedIPA,ReclassifiedCoda,Exclude,DictionaryMatch,Onset,OnsType
WZ03_0_193_1,fɯːt8,0,long,fɯːt8,obstruent,0,long,ɯə,fɯːət,fɯːt,obstruent,Keep,yes,f,voiceless fricative
WZ03_3_74_1,poːn3,3,long,poːn3,nasal,3,long,o,poːn,pɔːn,nasal,Keep,yes,p,voiceless stop
WZ03_5_131_1,puən5_or_tiŋ2,5,short,puən5,nasal,5,long,uə,puːən,puːən,nasal,Keep,yes,p,voiceless stop
WZ03_9_182_1,θɯk7_or_ɕaːt9,9,long,ɕaːt9,obstruent,9,long,,,ɕaːt,obstruent,Skipped,NA,ɕ,voiceless fricative
WZ03_1_9_1,ɣon1,1,short,ɣon1,nasal,1,short,o,ɣon,hon,nasal,Keep,yes,h,voiceless fricative
WZ03_9_179_1,tiːt7,9,long,tiːt7,obstruent,7,short,i,tit,tiət,obstruent,Keep,no,t,voiceless stop
WZ03_6_116_1,ɕaːn6,6,long,ɕaːn6,nasal,6,long,,,ɕaːn,nasal,Skipped,NA,ɕ,voiceless fricative
WZ03_3_65_1,si3,3,short,si3,nocoda,3,long,i,θiː,ɬiː,nocoda,Keep,yes,ɬ,voiceless fricative
WZ03_3_69_1,ɕe3,3,short,ɕe3,nocoda,3,long,e,ɕeː,ɕeː,nocoda,Keep,yes,ɕ,voiceless fricative
WZ03_2_31_1,san2,2,short,san2,nasal,2,short,a,θan,ɬan,nasal,Extra,NA,ɬ,voiceless fricative
WZ03_8_165_1,tok8,8,short,tok8,obstruent,0,long,o,toːk,tɔːk,obstruent,Keep,no,t,voiceless stop
WZ03_2_38_1,ten2_or_teːn2,2,NA,ten2,nasal,2,NA,e,teːn,teːn,nasal,Exclude Item,yes,t,voiceless stop
WZ03_7_135_1,ɕat7,7,short,ɕat7,obstruent,7,short,i,tit,tit,obstruent,Extra,NA,t,voiceless stop
WZ03_2_42_1,ɕi2,2,short,ɕi2,nocoda,2,long,,,ɕiː,nocoda,Skipped,NA,ɕ,voiceless fricative
WZ03_7_147_1,bat7_or_bit7,7,short,bat7,obstruent,7,short,a,bat,bat,obstruent,Keep,yes,b,voiced stop
WZ03_2_32_1,san2,2,short,san2,nasal,2,short,a,θan,san,nasal,Extra,yes,s,voiceless fricative
WZ03_8_161_1,sak8,8,short,sak8,obstruent,5,long,oi,θoːi,ɬoːi,nocoda,Keep,no,ɬ,voiceless fricative
WZ03_6_125_1,ɕe6,6,short,ɕe6,nocoda,6,long,e,ɕeː,ɕeː,nocoda,Extra,NA,ɕ,voiceless fricative
WZ03_3_71_1,su3,3,short,su3,nocoda,3,long,u,θuː,suː,nocoda,Keep,yes,s,voiceless fricative
WZ03_0_191_1,ɕeːt8,0,long,ɕeːt8,obstruent,0,long,,,ɕeːt,obstruent,Skipped,NA,ɕ,voiceless fricative
WZ03_2_43_1,tu2,2,short,tu2,nocoda,2,long,u,tuː,tuː,nocoda,Keep,yes,t,voiceless stop
WZ03_5_98_1,ɕaːn1_or_toːn5,5,long,toːn5,nasal,5,long,o,toːn,tɔːn,nasal,Keep,yes,t,voiceless stop
WZ03_7_142_1,ɕɯt7,7,short,ɕɯt7,obstruent,7,long,,,ɕaːu,nocoda,Exclude Item,NA,ɕ,voiceless fricative
WZ03_1_50_1,fɯn2_or_liəu1,1,short,liəu1,nocoda,1,long,,,liəuː,nocoda,Skipped,NA,l,sonorant
WZ03_4_79_1,kan4,4,short,kan4,nasal,2,short,a,kan,kan,nasal,Keep,yes,k,voiceless stop
WZ03_3_74_2,poːn3,3,long,poːn3,nasal,3,long,o,poːn,pɔːn,nasal,Keep,yes,p,voiceless stop
WZ03_1_14_1,ta1,1,short,ta1,nocoda,1,long,a,taː,taː,nocoda,Keep,yes,t,voiceless stop
WZ03_2_46_1,tin2,2,short,tin2,nasal,2,short,i,tin,tin,nasal,Keep,yes,t,voiceless stop
WZ03_1_22_1,ɕo1,1,short,ɕo1,nocoda,1,long,o,ɕoː,ɕɔː,nocoda,Keep,yes,ɕ,voiceless fricative
WZ03_1_30_1,θi1,1,short,θi1,nocoda,1,long,i,θiː,ɬɯː,nocoda,Keep,yes,ɬ,voiceless fricative
WZ03_7_134_1,ɕat7,7,short,ɕat7,obstruent,7,short,a,ɕat,ɕat,obstruent,Extra,NA,ɕ,voiceless fricative
WZ03_1_13_1,dɯn1,1,short,dɯn1,nasal,1,short,ɯ,dɯn,dɯn,nasal,Keep,yes,d,voiced stop
WZ03_3_58_1,vaːn3,3,long,vaːn3,nasal,3,long,a,waːn,vaːn,nasal,Keep,yes,v,voiced fricative
WZ03_7_153_1,pit7,7,short,pit7,obstruent,7,short,i,pit,pit,obstruent,Keep,yes,p,voiceless stop
WZ03_1_1_1,ɕan1,1,short,ɕan1,nasal,1,short,a,ɕan,san,nasal,Keep,yes,s,voiceless fricative
WZ03_0_195_1,kɯːt8,0,long,kɯːt8,obstruent,0,NA,,,kaŋ,nasal,Exclude Item,NA,k,voiceless stop
WZ03_3_62_1,dɯn3,3,short,dɯn3,nasal,3,short,ɯ,dɯn,dɯn,nasal,Keep,yes,d,voiced stop
WZ03_2_44_1,ɣu2,2,short,ɣu2,nocoda,2,long,u,ɣuː,ruː,nocoda,Keep,yes,r,sonorant
WZ03_5_92_1,taːn5,5,long,taːn5,nasal,5,long,a,taːn,taːn,nasal,Keep,yes,t,voiceless stop
WZ03_2_40_1,ɕa2,2,short,ɕa2,nocoda,2,long,a,ɕaː,ɕaː,nocoda,Keep,yes,ɕ,voiceless fricative
WZ03_2_45_1,ɕɯ2,2,short,ɕɯ2,nocoda,2,long,ɯ,ɕɯː,ɕɯː,nocoda,Keep,yes,ɕ,voiceless fricative
WZ03_NA_196_1,tai6_fuəŋ2,NA,short,tai6_fuəŋ2,NA,0,long,iə,tiːək,tiːɔk,obstruent,Keep,no,t,voiceless stop
WZ03_1_17_1,va1,1,short,va1,nocoda,1,long,a,waː,waː,nocoda,Keep,yes,w,sonorant
WZ03_9_176_1,ɕaːt9,9,long,ɕaːt9,obstruent,2,NA,au,tau,tau,nocoda,Keep,no,t,voiceless stop
WZ03_8_162_1,tit8,8,short,tit8,obstruent,8,short,i,tit,tit,obstruent,Keep,yes,t,voiceless stop
WZ03_1_12_1,dɯːn1,1,long,dɯːn1,nasal,1,long,ɯə,dɯːən,dɯːn,nasal,Extra,NA,d,voiced stop
WZ03_5_76_1,ɕa3_or_te5,5,short,te5,nocoda,5,long,e,teː,teː,nocoda,Keep,yes,t,voiceless stop
WZ03_8_161_2,sak8,8,short,sak8,obstruent,8,short,,,sak,obstruent,Skipped,NA,s,voiceless fricative
WZ03_3_77_1,ɕi3,3,short,ɕi3,nocoda,5,long,oi,ɕoːi,ɕoːi,nocoda,Keep,no,ɕ,voiceless fricative
WZ03_9_173_1,saːt7,9,long,saːt7,obstruent,9,long,,,saːt,obstruent,Skipped,NA,s,voiceless fricative
WZ03_4_29_1,han4,4,short,han4,nasal,5,NA,au,nau,nau,nocoda,Keep,no,n,nasal
WZ03_1_21_1,ɕo1,1,short,ɕo1,nocoda,1,long,o,ɕoː,ɕɔː,nocoda,Extra,NA,ɕ,voiceless fricative
WZ03_7_139_1,dit7,7,short,dit7,obstruent,9,long,a,ɣaːk,raːk,obstruent,Keep,no,r,sonorant
WZ03_4_81_1,heːn4_or_hen4,4,NA,hen4,nasal,4,NA,e,heːn,hen,nasal,Extra,yes,h,voiceless fricative
WZ03_9_184_1,tiŋ5_or_toːt9,9,long,toːt9,obstruent,9,long,o,toːt,tɔːt,obstruent,Keep,yes,t,voiceless stop
WZ03_3_72_1,tu3,3,short,tu3,nocoda,3,long,u,tuː,tuː,nocoda,Keep,yes,t,voiceless stop
WZ03_3_64_1,ta3,3,short,ta3,nocoda,3,long,a,taː,taː,nocoda,Keep,yes,t,voiceless stop
WZ03_3_55_1,tan3,3,short,tan3,nasal,5,NA,ai,tai,tai,nocoda,Keep,no,t,voiceless stop
WZ03_9_177_1,daːt9,9,long,daːt9,obstruent,9,long,a,daːt,daːt,obstruent,Keep,yes,d,voiced stop
WZ03_4_84_1,va4,4,short,va4,nocoda,4,long,a,waː,waː,nocoda,Keep,yes,w,sonorant
WZ03_4_29_2,han4,4,short,han4,nasal,4,short,,,han,nasal,Skipped,NA,h,voiceless fricative
WZ03_7_142_2,ɕɯt7,7,short,ɕɯt7,obstruent,7,long,,,ɕaːu,nocoda,Exclude Item,NA,ɕ,voiceless fricative
WZ03_2_49_1,tuən2,2,short,tuən2,nasal,5,NA,a,nan,nan,nasal,Keep,no,n,nasal
WZ03_2_47_1,haːn2,2,long,haːn2,nasal,2,long,,,haːn,nasal,Exclude Item,NA,h,voiceless fricative
WZ03_7_153_2,pit7,7,short,pit7,obstruent,7,short,i,pit,pit,obstruent,Keep,yes,p,voiceless stop
WZ03_5_107_1,ɕi5,5,short,ɕi5,nocoda,5,long,i,ɕiː,ɕiː,nocoda,Keep,yes,ɕ,voiceless fricative
WZ03_3_75_1,peːn3,3,long,peːn3,nasal,3,long,,,peːn,nasal,Skipped,NA,p,voiceless stop
WZ03_1_30_2,θi1,1,short,θi1,nocoda,1,long,o,ɕoː,sɔː,nocoda,Keep,no,s,voiceless fricative
WZ03_0_190_1,ɣaːk8,0,long,ɣaːk8,obstruent,0,NA,,,ɣaːŋ,nasal,Exclude Token,NA,ɣ,voiced fricative
WZ03_2_49_2,tuən2,2,short,tuən2,nasal,5,NA,a,nan,nan,nasal,Keep,no,n,nasal
WZ03_8_167_1,ɕuk8,8,short,ɕuk8,obstruent,8,short,,,ɕuk,obstruent,Skipped,NA,ɕ,voiceless fricative
WZ03_2_47_2,haːn2,2,long,haːn2,nasal,2,long,,,haːn,nasal,Exclude Item,NA,h,voiceless fricative
WZ03_5_78_1,naːu5_or_ne5,5,long,naːu5,nocoda,5,long,au,naːu,naːu,nocoda,Keep,yes,n,nasal
WZ03_8_170_1,kɯt8,8,short,kɯt8,obstruent,2,NA,au,ɕau,sau,nocoda,Keep,no,s,voiceless fricative
WZ03_8_164_1,tot8,8,short,tot8,obstruent,9,long,o,toːt,tɔːt,obstruent,Keep,no,t,voiceless stop
WZ03_5_105_1,ha5,5,short,ha5,nocoda,5,long,a,haː,haː,nocoda,Keep,yes,h,voiceless fricative
WZ03_6_124_1,ɕe6,6,short,ɕe6,nocoda,6,long,e,ɕeː,ɕeː,nocoda,Keep,yes,ɕ,voiceless fricative
WZ03_9_173_2,saːt7,9,long,saːt7,obstruent,1,long,o,ɕoː,sɔː,nocoda,Keep,no,s,voiceless fricative
WZ03_9_180_1,tuːt7,9,long,tuːt7,obstruent,9,long,uə,tuːət,tuːət,obstruent,Keep,yes,t,voiceless stop
WZ03_3_55_2,tan3,3,short,tan3,nasal,5,NA,ai,tai,tai,nocoda,Keep,no,t,voiceless stop
WZ03_2_43_2,tu2,2,short,tu2,nocoda,2,long,u,tuː,tuː,nocoda,Keep,yes,t,voiceless stop
WZ03_4_29_3,han4,4,short,han4,nasal,4,short,,,han,nasal,Skipped,NA,h,voiceless fricative
WZ03_7_137_1,ɕat7,7,short,ɕat7,obstruent,7,short,a,ɕat,ɕat,obstruent,Keep,yes,ɕ,voiceless fricative
WZ03_3_185_1,kɯən3_or_pliəŋ3,3,short,kɯən3,nasal,3,short,,,kɯən,nasal,Skipped,NA,k,voiceless stop
WZ03_2_39_1,hen2,2,short,hen2,nasal,2,short,e,heːn,hen,nasal,Keep,yes,h,voiceless fricative
WZ03_2_42_2,ɕi2,2,short,ɕi2,nocoda,2,long,,,ɕiː,nocoda,Skipped,NA,ɕ,voiceless fricative
WZ03_4_87_1,tɯk7_or_ɕaːu4,4,long,ɕaːu4,nocoda,4,long,,,ɕaufoi,nocoda,2S,NA,ɕ,voiceless fricative
WZ03_7_150_1,ɕup7_or_kɯ1,7,short,ɕup7,obstruent,7,short,u,ɕut,ɕut,obstruent,Keep,no,ɕ,voiceless fricative
WZ03_2_28_1,tiəu6_or_lau2,2,short,lau2,nocoda,1,NA,au,lau,lau,nocoda,Keep,no,l,sonorant
WZ03_5_97_1,ɕoːn5,5,long,ɕoːn5,nasal,5,long,o,ɕoːn,ɕɔːn,nasal,Keep,yes,ɕ,voiceless fricative
WZ03_1_12_2,dɯːn1,1,long,dɯːn1,nasal,1,long,ɯə,dɯːən,dɯːn,nasal,Extra,NA,d,voiced stop
WZ03_1_18_1,ɕi1,1,short,ɕi1,nocoda,1,long,i,ɕiː,ɕeː,nocoda,Keep,yes,ɕ,voiceless fricative
WZ03_5_105_2,ha5,5,short,ha5,nocoda,5,long,a,haː,haː,nocoda,Keep,yes,h,voiceless fricative
WZ03_3_62_2,dɯn3,3,short,dɯn3,nasal,3,short,ɯ,dɯn,dɯn,nasal,Keep,yes,d,voiced stop
WZ03_0_195_2,kɯːt8,0,long,kɯːt8,obstruent,0,NA,,,kaŋ,nasal,Exclude Item,NA,k,voiceless stop
WZ03_5_106_1,va5,5,short,va5,nocoda,5,long,a,waː,waː,nocoda,Keep,yes,w,sonorant
WZ03_5_92_2,taːn5,5,long,taːn5,nasal,5,long,a,taːn,taːn,nasal,Keep,yes,t,voiceless stop
WZ03_1_27_1,puən1,1,short,puən1,nasal,1,NA,a,pan,pan,nasal,Keep,no,p,voiceless stop
WZ03_1_7_1,ɕiːn1,1,long,ɕiːn1,nasal,1,long,iə,ɕiːən,ɕiːən,nasal,Extra,NA,ɕ,voiceless fricative
WZ03_5_108_1,tɕi5,5,short,tɕi5,nocoda,5,long,oi,ɕoːi,ɕoːi,nocoda,Keep,yes,ɕ,voiceless fricative
WZ03_6_121_1,so6,6,short,so6,nocoda,6,long,o,θoː,θɔː,nocoda,Keep,yes,θ,voiceless fricative
WZ03_3_63_1,hɯn3,3,short,hɯn3,nasal,3,short,ɯ,hɯn,hɯn,nasal,Keep,yes,h,voiceless fricative
WZ03_9_52_1,ʔjoːt9,9,long,ʔjoːt9,obstruent,9,long,,,ʔjoːt,obstruent,Skipped,NA,ʔ,glottal stop
WZ03_5_78_2,naːu5_or_ne5,5,long,naːu5,nocoda,5,long,au,naːu,naːu,nocoda,Keep,yes,n,nasal
WZ03_3_62_3,dɯn3,3,short,dɯn3,nasal,3,short,ɯ,dɯn,dɯn,nasal,Keep,yes,d,voiced stop
WZ03_5_107_2,ɕi5,5,short,ɕi5,nocoda,5,long,i,ɕiː,ɕiː,nocoda,Keep,yes,ɕ,voiceless fricative
WZ03_0_187_1,faːk8,0,long,faːk8,obstruent,0,long,a,faːk,faːk,obstruent,Keep,yes,f,voiceless fricative
WZ03_8_91_1,fak8,8,short,fak8,obstruent,5,NA,o,ɣon,ɹɔn,nasal,Keep,no,ɹ,sonorant
WZ03_3_133_1,tɯk7_or_ta3,3,short,ta3,nocoda,3,long,a,taː,taː,nocoda,Extra,yes,t,voiceless stop
WZ03_5_88_1,pon5,5,short,pon5,nasal,5,short,,,pon,nasal,Skipped,NA,p,voiceless stop
WZ03_7_134_2,ɕat7,7,short,ɕat7,obstruent,7,short,a,ɕat,ɕat,obstruent,Extra,NA,ɕ,voiceless fricative
WZ03_1_50_2,fɯn2_or_liəu1,1,short,liəu1,nocoda,1,long,,,liəuː,nocoda,Skipped,NA,l,sonorant
WZ03_5_110_1,to5,5,short,to5,nocoda,5,long,,,to,nocoda,Skipped,NA,t,voiceless stop
WZ03_8_166_1,tok8,8,short,tok8,obstruent,2,long,u,tuː,tuː,nocoda,Keep,no,t,voiceless stop
WZ03_7_135_2,ɕat7,7,short,ɕat7,obstruent,7,short,i,tit,tit,obstruent,Extra,NA,t,voiceless stop
WZ03_5_107_3,ɕi5,5,short,ɕi5,nocoda,5,long,i,ɕiː,ɕiː,nocoda,Keep,yes,ɕ,voiceless fricative
WZ03_7_138_1,ɣat7,7,short,ɣat7,obstruent,7,short,,,ɣat,obstruent,Skipped,NA,ɣ,voiced fricative
WZ03_8_159_1,ɕak8,8,short,ɕak8,obstruent,8,short,a,ɕak,sak,obstruent,Keep,yes,s,voiceless fricative
WZ03_7_141_1,kut7,7,short,kut7,obstruent,7,short,,,kut,obstruent,Skipped,NA,k,voiceless stop
WZ03_4_82_1,ɕa4,4,short,ɕa4,nocoda,1,long,,,tau,nocoda,Exclude (Mandarin),NA,t,voiceless stop
WZ03_0_190_2,ɣaːk8,0,long,ɣaːk8,obstruent,0,long,a,ɣaːk,ɣaːk,obstruent,Keep,yes,ɣ,voiced fricative
WZ03_3_60_1,tin3,3,short,tin3,nasal,2,long,eu,feːu,feːu,nocoda,Keep,no,f,voiceless fricative
WZ03_1_27_2,puən1,1,short,puən1,nasal,1,NA,a,pan,pan,nasal,Keep,no,p,voiceless stop
WZ03_0_189_1,taːk8,0,long,taːk8,obstruent,2,long,,,liaŋ,nasal,Exclude (Mandarin),NA,l,sonorant
WZ03_5_88_2,pon5,5,short,pon5,nasal,5,short,,,pon,nasal,Skipped,NA,p,voiceless stop
WZ03_1_5_1,tin1,1,short,tin1,nasal,1,long,a,haː,haː,nocoda,Keep,no,h,voiceless fricative
WZ03_0_192_1,keːt8,0,long,keːt8,obstruent,0,long,,,keːt,obstruent,Skipped,NA,k,voiceless stop
WZ03_0_195_3,kɯːt8,0,long,kɯːt8,obstruent,0,NA,,,kaŋ,nasal,Exclude Item,NA,k,voiceless stop
WZ03_5_96_1,haːn5,5,long,haːn5,nasal,5,long,,,haːn,nasal,Exclude Item,NA,h,voiceless fricative
WZ03_3_61_1,hen3,3,short,hen3,nasal,3,short,e,heːn,hen,nasal,Keep,yes,h,voiceless fricative
WZ03_7_136_1,dat7,7,short,dat7,obstruent,3,NA,a,kan,kʰan,nasal,Keep,no,k,voiceless stop
WZ03_3_53_1,dɯn3_or_tan1,3,short,dɯn3,nasal,3,short,ɯ,dɯn,dɯn,nasal,Extra,yes,d,voiced stop
WZ03_1_15_1,ɣa1,1,short,ɣa1,nocoda,1,long,a,ɣaː,ɣaː,nocoda,Keep,yes,ɣ,voiced fricative
WZ03_7_138_2,ɣat7,7,short,ɣat7,obstruent,7,short,,,ɣat,obstruent,Skipped,NA,ɣ,voiced fricative
WZ03_3_63_2,hɯn3,3,short,hɯn3,nasal,3,short,ɯ,hɯn,hɯn,nasal,Keep,yes,h,voiceless fricative
WZ03_5_107_4,ɕi5,5,short,ɕi5,nocoda,5,long,i,ɕiː,ɕiː,nocoda,Keep,yes,ɕ,voiceless fricative
WZ03_1_3_1,haːn1,1,long,haːn1,nasal,2,long,a,taː,taː,nocoda,Keep,no,t,voiceless stop
WZ03_0_187_2,faːk8,0,long,faːk8,obstruent,0,long,a,faːk,faːk,obstruent,Keep,yes,f,voiceless fricative
WZ03_9_26_1,keːk7,9,long,keːk7,obstruent,9,long,,,keːk,obstruent,Skipped,NA,k,voiceless stop
WZ03_0_188_1,ɕaːk8,0,long,ɕaːk8,obstruent,0,long,,,ɕaːk,obstruent,Exclude Item,NA,ɕ,voiceless fricative
WZ03_2_48_1,tiən2,2,short,tiən2,nasal,2,long,iə,tiːən,tiːən,nasal,Keep,yes,t,voiceless stop
WZ03_5_92_3,taːn5,5,long,taːn5,nasal,5,long,a,taːn,taːn,nasal,Keep,yes,t,voiceless stop
WZ03_3_61_2,hen3,3,short,hen3,nasal,3,short,e,heːn,hen,nasal,Keep,yes,h,voiceless fricative
WZ03_1_2_1,han1,1,short,han1,nasal,1,short,,,han,nasal,Skipped,NA,h,voiceless fricative
WZ03_1_11_1,dɯːn1,1,long,dɯːn1,nasal,1,long,ɯə,dɯːən,dɯːn,nasal,Keep,yes,d,voiced stop
WZ03_5_98_2,ɕaːn1_or_toːn5,5,long,toːn5,nasal,5,long,o,toːn,tɔːn,nasal,Keep,yes,t,voiceless stop
WZ03_2_36_1,toːn2,2,long,toːn2,nasal,2,long,,,toːn,nasal,2S,NA,t,voiceless stop
WZ03_3_54_1,tan3,3,short,tan3,nasal,3,short,a,tan,tan,nasal,Keep,yes,t,voiceless stop
WZ03_3_154_1,tiəm3,3,short,tiəm3,nasal,7,short,i,dik,dik,obstruent,Keep,no,d,voiced stop
WZ03_7_70_1,hap7_or_man3_or_he3,7,short,hap7,obstruent,7,short,a,hap,hap,obstruent,Keep,yes,h,voiceless fricative
WZ03_1_2_2,han1,1,short,han1,nasal,1,short,,,han,nasal,Skipped,NA,h,voiceless fricative
WZ03_5_103_1,da5,5,short,da5,nocoda,5,long,a,daː,daː,nocoda,Keep,yes,d,voiced stop
WZ03_5_92_4,taːn5,5,long,taːn5,nasal,5,long,a,taːn,taːn,nasal,Keep,yes,t,voiceless stop
WZ03_5_98_3,ɕaːn1_or_toːn5,5,long,toːn5,nasal,5,long,o,toːn,tɔːn,nasal,Keep,yes,t,voiceless stop
WZ03_0_189_2,taːk8,0,long,taːk8,obstruent,2,long,,,liaŋ,nasal,Exclude (Mandarin),NA,l,sonorant
WZ03_3_72_2,tu3,3,short,tu3,nocoda,3,long,u,tuː,tuː,nocoda,Keep,yes,t,voiceless stop
WZ03_7_158_1,tat7_or_ɣat8,7,short,tat7,obstruent,7,short,a,tat,tat,obstruent,Keep,yes,t,voiceless stop
WZ03_6_120_1,va6,6,short,va6,nocoda,6,long,a,waː,hwaː,nocoda,Keep,yes,h,voiceless fricative
WZ03_4_79_2,kan4,4,short,kan4,nasal,2,short,a,kan,kan,nasal,Keep,yes,k,voiceless stop
WZ03_1_12_3,dɯːn1,1,long,dɯːn1,nasal,1,long,ɯə,dɯːən,dɯːn,nasal,Extra,NA,d,voiced stop
WZ03_3_53_2,dɯn3_or_tan1,3,short,dɯn3,nasal,3,short,ɯ,dɯn,dɯn,nasal,Extra,yes,d,voiced stop
WZ03_4_29_4,han4,4,short,han4,nasal,4,short,,,han,nasal,Skipped,NA,h,voiceless fricative
WZ03_2_171_1,san2,2,short,san2,nasal,2,short,a,θan,san,nasal,Keep,yes,s,voiceless fricative
WZ03_4_82_2,ɕa4,4,short,ɕa4,nocoda,1,long,,,tau,nocoda,Exclude (Mandarin),NA,t,voiceless stop
WZ03_1_19_1,ɕi1,1,short,ɕi1,nocoda,6,long,iəu,liːəu,liːu,nocoda,Keep,no,l,sonorant
WZ03_2_28_2,tiəu6_or_lau2,2,short,lau2,nocoda,1,NA,au,lau,lau,nocoda,Keep,no,l,sonorant
WZ03_5_107_5,ɕi5,5,short,ɕi5,nocoda,5,long,i,ɕiː,ɕiː,nocoda,Keep,yes,ɕ,voiceless fricative
WZ03_2_33_1,ɣaːn2,2,long,ɣaːn2,nasal,2,long,a,ɣaːn,ɣaːn,nasal,Keep,yes,ɣ,voiced fricative
WZ03_1_8_1,soːn1,1,long,soːn1,nasal,1,long,o,θoːn,ɬoːn,nasal,Keep,yes,ɬ,voiceless fricative
WZ03_2_36_2,toːn2,2,long,toːn2,nasal,2,long,,,toːn,nasal,2S,NA,t,voiceless stop
WZ03_3_73_1,fan3,3,short,fan3,nasal,3,short,a,fan,fan,nasal,Keep,yes,f,voiceless fricative
WZ03_5_95_1,han5,5,short,han5,nasal,5,short,a,han,han,nasal,Keep,yes,h,voiceless fricative
WZ03_1_21_2,ɕo1,1,short,ɕo1,nocoda,1,long,,,ɕoː,nocoda,Skipped,NA,ɕ,voiceless fricative
WZ03_2_39_2,hen2,2,short,hen2,nasal,2,short,e,heːn,hen,nasal,Keep,yes,h,voiceless fricative
WZ03_1_9_2,ɣon1,1,short,ɣon1,nasal,1,short,o,ɣon,hon,nasal,Keep,yes,h,voiceless fricative
WZ03_3_146_1,tək7_or_ta3,3,short,ta3,nocoda,3,long,a,taː,taː,nocoda,Extra,yes,t,voiceless stop
WZ03_5_107_6,ɕi5,5,short,ɕi5,nocoda,5,long,i,ɕiː,ɕiː,nocoda,Extra,NA,ɕ,voiceless fricative
WZ03_7_143_1,tɯk7,7,short,tɯk7,obstruent,7,short,,,tɯk,obstruent,Skipped,NA,t,voiceless stop
WZ03_7_70_2,hap7_or_man3_or_he3,7,short,hap7,obstruent,7,short,a,hap,hap,obstruent,Keep,yes,h,voiceless fricative
WZ03_5_109_1,to5,5,short,to5,nocoda,5,long,o,toː,tuː,nocoda,Keep,yes,t,voiceless stop
WZ03_2_171_2,san2,2,short,san2,nasal,2,short,a,θan,san,nasal,Keep,yes,s,voiceless fricative
WZ03_8_169_1,tɯk8,8,short,tɯk8,obstruent,8,short,ɯ,tɯk,tɯk,obstruent,Keep,yes,t,voiceless stop
WZ03_2_35_1,ɕiːn2,2,long,ɕiːn2,nasal,2,NA,a,ŋan,ŋan,nasal,Keep,no,ŋ,nasal
WZ03_9_184_2,tiŋ5_or_toːt9,9,long,toːt9,obstruent,9,long,,,toːt,obstruent,Exclude Token,NA,t,voiceless stop
WZ03_9_178_1,ɣaːk9,9,long,ɣaːk9,obstruent,9,long,a,ɣaːk,raːk,obstruent,Keep,yes,r,sonorant
WZ03_6_126_1,tu6,6,short,tu6,nocoda,6,long,u,tuː,tuː,nocoda,Extra,NA,t,voiceless stop
WZ03_8_170_2,kɯt8,8,short,kɯt8,obstruent,2,NA,au,ɕau,sau,nocoda,Keep,no,s,voiceless fricative
WZ03_5_100_1,kon5,5,short,kon5,nasal,5,short,,,kon,nasal,Skipped,NA,k,voiceless stop
WZ03_7_142_3,ɕɯt7,7,short,ɕɯt7,obstruent,7,long,,,ɕaːu,nocoda,Exclude Item,NA,ɕ,voiceless fricative
WZ03_5_96_2,haːn5,5,long,haːn5,nasal,5,long,,,haːn,nasal,Exclude Item,NA,h,voiceless fricative
WZ03_1_11_2,dɯːn1,1,long,dɯːn1,nasal,1,long,ɯə,dɯːən,dɯːn,nasal,Keep,yes,d,voiced stop
WZ03_4_83_1,ɕa4_or_baːŋ1,4,short,ɕa4,nocoda,1,long,o,ɕoː,ɕɔː,nocoda,Keep,no,ɕ,voiceless fricative
WZ03_5_92_5,taːn5,5,long,taːn5,nasal,5,long,a,taːn,taːn,nasal,Keep,yes,t,voiceless stop
WZ03_5_104_1,ɕa5,5,short,ɕa5,nocoda,5,long,a,ɕaː,ɕaː,nocoda,Keep,yes,ɕ,voiceless fricative
WZ03_2_46_2,tin2,2,short,tin2,nasal,2,short,i,tin,tin,nasal,Keep,yes,t,voiceless stop
WZ03_1_24_1,ɕɯ1,1,short,ɕɯ1,nocoda,1,long,ɯ,ɕɯː,ɕɯː,nocoda,Keep,yes,ɕ,voiceless fricative
WZ03_0_193_2,fɯːt8,0,long,fɯːt8,obstruent,0,long,ɯə,fɯːət,fiːət,obstruent,Keep,yes,f,voiceless fricative
WZ03_8_157_1,hon4_or_mop8,8,short,mop8,obstruent,5,NA,au,θau,θau,nocoda,Keep,no,θ,voiceless fricative
WZ03_1_4_1,kan1,1,short,kan1,nasal,1,short,a,kan,kan,nasal,Keep,yes,k,voiceless stop
WZ03_3_66_1,ti3,3,short,ti3,nocoda,3,long,i,tiː,tiː,nocoda,Keep,yes,t,voiceless stop
WZ03_3_133_2,tɯk7_or_ta3,3,short,ta3,nocoda,3,long,a,taː,taː,nocoda,Extra,yes,t,voiceless stop
WZ03_2_48_2,tiən2,2,short,tiən2,nasal,2,long,iə,tiːən,tiːən,nasal,Keep,yes,t,voiceless stop
WZ03_9_173_3,saːt7,9,long,saːt7,obstruent,1,long,o,ɕoː,sɔː,nocoda,Keep,no,s,voiceless fricative
WZ03_NA_172_1,pi5_ɣeːŋ4,NA,long,pi5_ɣeːŋ4,NA,2,NA,a,ɕan,ɕan,nasal,Keep,no,ɕ,voiceless fricative
WZ03_9_176_2,ɕaːt9,9,long,ɕaːt9,obstruent,2,NA,au,tau,tau,nocoda,Keep,no,t,voiceless stop
