Filename,DictionaryIPA,DictionaryTone,VowelLength,IPA,Coda,ReclassifiedTone,ReclassifiedVowelLength,VowelQuality,PhonemicIPA,ReclassifiedIPA,ReclassifiedCoda,Exclude,DictionaryMatch,Onset,OnsType
WZ15_6_114_5,ta3_or_ɕoiː6,6,long,ɕoiː6,nocoda,6,long,oi,ɕoːi,ɕoːi,nocoda,Keep,yes,ɕ,voiceless fricative
WZ15_2_46_15,tin2,2,short,tin2,nasal,2,short,i,tin,tin,nasal,Extra,NA,t,voiceless stop
WZ15_5_113_5,kau5,5,short,kau5,nocoda,5,NA,au,kau,kau,nocoda,Keep,yes,k,voiceless stop
WZ15_1_18_4,ɕi1,1,short,ɕi1,nocoda,1,long,i,ɕiː,ɕeː,nocoda,Keep,yes,ɕ,voiceless fricative
WZ15_8_157_5,hon4_or_mop8,8,short,mop8,obstruent,5,NA,au,θau,θau,nocoda,Keep,no,θ,voiceless fricative
WZ15_3_63_5,hɯn3,3,short,hɯn3,nasal,3,short,ɯ,hɯn,hɯn,nasal,Keep,yes,h,voiceless fricative
WZ15_6_132_5,pɯn6,6,short,pɯn6,nasal,1,NA,ai,hai,hai,nocoda,Keep,no,h,voiceless fricative
WZ15_0_190_5,ɣaːk8,0,long,ɣaːk8,obstruent,5,NA,o,kon,kɔn,nasal,Keep,no,k,voiceless stop
WZ15_5_76_5,ɕa3_or_te5,5,short,te5,nocoda,5,long,e,teː,teː,nocoda,Keep,yes,t,voiceless stop
WZ15_1_18_5,ɕi1,1,short,ɕi1,nocoda,1,long,i,ɕiː,ɕeː,nocoda,Keep,yes,ɕ,voiceless fricative
WZ15_6_122_5,ɕo6,6,short,ɕo6,nocoda,6,long,o,ɕoː,ɕɔː,nocoda,Keep,yes,ɕ,voiceless fricative
WZ15_3_133_5,tɯk7_or_ta3,3,short,ta3,nocoda,3,long,a,taː,taː,nocoda,Extra,yes,t,voiceless stop
WZ15_3_146_4,tək7_or_ta3,3,short,ta3,nocoda,3,long,a,taː,taː,nocoda,Extra,yes,t,voiceless stop
WZ15_5_93_5,san5,5,short,san5,nasal,5,short,i,θin,θin,nasal,Keep,no,θ,voiceless fricative
WZ15_1_15_5,ɣa1,1,short,ɣa1,nocoda,1,long,a,ɣaː,raː,nocoda,Keep,yes,r,sonorant
WZ15_3_146_5,tək7_or_ta3,3,short,ta3,nocoda,3,long,a,taː,taː,nocoda,Extra,yes,t,voiceless stop
WZ15_1_9_5,ɣon1,1,short,ɣon1,nasal,1,short,o,ɣon,hɔn,nasal,Keep,yes,h,voiceless fricative
WZ15_9_26_5,keːk7,9,long,keːk7,obstruent,9,long,e,keːk,keːk,obstruent,Keep,yes,k,voiceless stop
WZ15_3_54_9,tan3,3,short,tan3,nasal,3,short,a,tan,tan,nasal,Extra,NA,t,voiceless stop
WZ15_8_91_5,fak8,8,short,fak8,obstruent,3,NA,o,ton,tɔn,nasal,Keep,no,t,voiceless stop
WZ15_2_31_5,san2,2,short,san2,nasal,2,short,a,θan,θan,nasal,Extra,NA,θ,voiceless fricative
WZ15_3_54_10,tan3,3,short,tan3,nasal,3,short,a,tan,tan,nasal,Extra,NA,t,voiceless stop
WZ15_5_155_5,lon5,5,short,lon5,nasal,7,short,o,tok,tɔk,obstruent,Keep,no,t,voiceless stop
WZ15_0_195_5,kɯːt8,0,long,kɯːt8,obstruent,0,long,ɯə,kɯːət,kiːat,obstruent,Keep,yes,k,voiceless stop
WZ15_6_119_5,ta6,6,short,ta6,nocoda,6,long,a,taː,taː,nocoda,Keep,yes,t,voiceless stop
WZ15_5_92_15,taːn5,5,long,taːn5,nasal,5,long,a,taːn,taːn,nasal,Extra,NA,t,voiceless stop
